Modernize,Incremental Rewrite,Big Bang Rewrite,Layer Sequence,Support,Existing Apps,Data Service,Data Model,App Framework,Monitor,New Database,Pnp Framework,Documentation,Regression Test,Number Tiers,Data Service(7),Comprehensive Data Model,Extensible Data Model(16/19),Specific Data Model,App Framework(6),Monitor(11),ServiceLayer,2 Tier,3 Tier,Tiers w/ Service,Choose Doc Tool,J2EE Specification,Access Control Assessed,Access Control Pilot,Monitoring Pilot,Documentation Tool,Create Test Environment,Choose Candidate System,Data Service Spec,Data Service Pilot,Svc layer w/ extracted biz logic in DB(12),Svc layer w/ extracted biz logic(13),DB Vendor Test Env,General Test Env,Bakeoff Result,Provide logical data scheme internally(8),Define data model for all shared data(15),Define ext mandatory data std(18),External clients get exactly what they request(10),XXX coordinates and internal client does whatever(17),XXX coordinates and external client does whatever(20),Build internal extensible data model(16),External data model can be extended(19),Data Model Pilot,Quick Feature Delivery,Good Example of Agile Government development,Easily Share Data W/ Partners,Easily Share Data Internally,?cost,?benefit,?softgoals
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,,-1,1,1,1,,1,-1,,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,6990.950787005307,16446.66257094483,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,5800.502619507416,17246.46941116814,4
1,,1,1,1,1,1,1,1,,-1,1,1,1,1,1,1,,,1,,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,,-1,1,,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,,-1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,-1,,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,,-1,-1,1,1,1,1,5914.403165500036,15498.442571618947,4
1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,,,-1,1,,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,,1,-1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,-1,1,1,-1,-1,-1,,,,-1,1,-1,,-1,-1,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,,-1,1,-1,-1,-1,-1,2980.9579870417283,2980.9579870417283,0
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,,1,1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,5800.502619507416,17246.46941116814,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,1,,-1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,,1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,-1,1,1,-1,1,1,1,,,1,-1,1,-1,1,1,1,,,,,-1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,,1,-1,-1,-1,1,1,8103.083927575384,2980.9579870417283,2
1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,,1,-1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,,-1,-1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,-1,-1,1,,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,,1,,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,4723.954998002145,16298.249411842255,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,1,,-1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,,1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4852.282620181534,16169.921789662865,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,,1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,,1,1,1,1,1,1,1,,-1,1,1,1,1,1,1,,,1,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,1,1,-1,,1,1,,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,,-1,-1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,,1,1,1,1,1,1,1,,-1,1,1,1,1,1,1,,,1,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,-1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,1,,,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,,1,-1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,5914.403165500036,15498.442571618947,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,,1,1,-1,1,1,1,,,-1,1,-1,,1,1,,1,,,,1,-1,-1,1,-1,-1,-1,-1,-1,-1,,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,1,2980.9579870417283,2980.9579870417283,2
1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,,-1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,,1,1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,5800.502619507416,17246.46941116814,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,1,1,1,1,4711.167531783995,16446.66257094483,4
1,-1,1,1,-1,-1,1,1,,,-1,1,1,-1,1,1,-1,-1,1,,,1,-1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,2980.9579870417283,2980.9579870417283,1
1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,-1,1,-1,1,,,1,-1,,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,4723.954998002145,16298.249411842255,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,,-1,1,1,1,1,1,4711.167531783995,16446.66257094483,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,4711.167531783995,16446.66257094483,4
1,,1,1,1,1,1,1,1,,-1,1,1,1,1,1,1,,-1,1,,,1,1,,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,,1,-1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,-1,1,1,,,1,1,,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,,1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,-1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,5800.502619507416,17246.46941116814,4
1,,1,1,-1,1,1,1,,,1,1,1,-1,1,1,1,,,,,,1,1,,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,,-1,1,-1,-1,1,1,2980.9579870417283,2980.9579870417283,2
1,,1,1,-1,1,1,1,,,1,1,1,-1,1,1,,1,-1,,,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,2980.9579870417283,2980.9579870417283,2
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4723.954998002145,16298.249411842255,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,4723.954998002145,16298.249411842255,4
1,-1,1,1,-1,1,1,1,,,1,1,-1,,1,1,,1,,,,1,1,-1,1,-1,-1,1,1,1,-1,,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,2980.9579870417283,2980.9579870417283,2
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,-1,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,5800.502619507416,17246.46941116814,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,4723.954998002145,16298.249411842255,4
1,,1,1,-1,1,1,1,,,-1,1,-1,,1,1,,1,,,,1,1,1,1,-1,1,1,1,1,-1,,1,-1,1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,2980.9579870417283,2980.9579870417283,2
1,-1,1,1,1,1,1,-1,1,,-1,1,1,1,1,1,-1,-1,-1,1,,,-1,1,,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,2980.9579870417283,2980.9579870417283,1
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,4723.954998002145,16298.249411842255,4
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,1,,,1,1,,-1,1,,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,,-1,-1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,,-1,1,1,1,1,1,4711.167531783995,16446.66257094483,4
1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,,1,,1,-1,1,1,-1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8103.083927575384,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,1,,-1,1,1,,1,1,,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,,1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,,-1,-1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,,1,1,-1,1,1,1,,,1,1,-1,,1,1,-1,1,,,,-1,1,-1,-1,-1,1,1,1,1,-1,,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,2980.9579870417283,2980.9579870417283,2
1,-1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,,,1,-1,,1,1,,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,-1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4723.954998002145,16298.249411842255,4
1,,1,1,1,1,1,1,1,,-1,1,1,1,1,1,1,,,1,,,-1,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,,-1,-1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,,1,,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,5800.502619507416,17246.46941116814,4
1,,1,1,1,1,1,1,1,,-1,1,1,1,1,1,1,,,1,,,1,-1,,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,-1,,1,1,1,1,1,1,2980.9579870417283,2980.9579870417283,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,,1,-1,1,1,1,1,4711.167531783995,16446.66257094483,4
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,,1,1,1,1,1,1,5787.715153289267,17394.882570270714,4
